City,Country Code,Lat [deg],Lng [deg],Temperature [C],Humidity [%],Cloudiness [%],Wind Speed (kph]
hervey bay,au,-25.2986,152.8535,15.060000000000002,52,84,4.96
antofagasta,cl,-23.65,-70.4,13.600000000000023,84,26,2.15
tamasane,bw,-22.4184,27.4013,16.850000000000023,34,2,6.47
henties bay,na,-22.116,14.2845,27.400000000000034,25,2,6.89
morondava,mg,-20.2833,44.2833,25.689999999999998,51,6,5.33
hithadhoo,mv,-0.6,73.0833,28.03000000000003,77,45,4.45
tocopilla,cl,-22.092,-70.1979,15.300000000000011,71,52,3.77
gobabis,na,-22.45,18.9667,18.850000000000023,29,0,7.34
quelimane,mz,-17.8786,36.8883,21.970000000000027,68,75,5.14
fuerte olimpo,py,-21.0415,-57.8738,21.879999999999995,48,0,3.68
caravelas,br,-17.7125,-39.2481,21.99000000000001,69,58,2.26
pouebo,nc,-20.4,164.5667,20.470000000000027,85,5,2.31
poum,nc,-20.2333,164.0167,23.0,74,6,6.75
beira,mz,-19.8436,34.8389,22.05000000000001,64,75,6.69
mount isa,au,-20.7333,139.5,12.870000000000005,33,6,2.57
tautira,pf,-17.7333,-149.15,22.010000000000048,72,18,4.23
curvelo,br,-18.7564,-44.4308,15.840000000000032,73,0,3.71
san jose,bo,37.3394,-121.895,14.78000000000003,83,1,1.34
georgetown,sh,5.4112,100.3354,30.760000000000048,74,20,4.02
llallagua,bo,-18.4167,-66.6333,1.9700000000000273,45,67,2.16
belmonte,br,-15.8631,-38.8828,18.28000000000003,70,98,4.67
karratha,au,-20.7377,116.8463,22.75,47,44,3.25
broome,au,42.2506,-75.833,20.620000000000005,91,90,0.45
novo cruzeiro,br,-17.4681,-41.8753,14.260000000000048,77,80,2.47
ongandjera,na,-17.8833,15.0667,25.010000000000048,23,0,7.14
pailon,bo,-17.65,-62.75,19.5,63,0,4.02
port hedland,au,-20.3167,118.5667,22.03000000000003,53,75,2.57
pisco,pe,-13.7,-76.2167,17.03000000000003,77,90,3.6
kununurra,au,-15.7667,128.7333,23.99000000000001,57,83,0.0
banjar,id,-8.19,114.9675,26.920000000000016,84,18,2.58
senanga,zm,-16.1167,23.2667,24.670000000000016,24,0,4.56
isangel,vu,-19.55,169.2667,24.439999999999998,85,88,1.99
piranhas,br,-16.4269,-51.8222,19.400000000000034,42,0,1.09
kafue,zm,-15.7691,28.1814,20.220000000000027,31,0,5.53
kawalu,id,-7.3817,108.2082,21.970000000000027,90,26,1.54
namibe,ao,-15.1961,12.1522,26.720000000000027,36,0,3.61
asau,tv,46.4333,26.4,27.470000000000027,37,16,2.56
luangwa,zm,-15.6167,30.4167,24.05000000000001,30,0,5.02
ayaviri,pe,-14.8864,-70.5889,1.7300000000000182,56,2,1.37
uruacu,br,-14.5247,-49.1408,19.340000000000032,41,0,2.09
grand gaube,mu,-20.0064,57.6608,24.100000000000023,55,43,4.47
cairns,au,-16.9167,145.7667,21.970000000000027,56,34,2.57
atuona,pf,-9.8,-139.0333,25.74000000000001,69,86,9.11
sola,vu,-13.8833,167.55,26.680000000000007,77,95,4.57
santa maria da vitoria,br,-13.3947,-44.1886,20.100000000000023,64,2,4.14
kalengwa,zm,-13.4659,25.0027,23.54000000000002,25,0,4.99
kirakira,sb,-10.4544,161.9205,26.100000000000023,85,20,2.1
praya,id,14.9215,-23.5087,26.30000000000001,53,20,3.09
sambava,mg,-14.2667,50.1667,22.670000000000016,79,80,7.18
